Symbol,Interval,Signal,Result,Profit,Entry,TP,SL,Time,Profit %
BTCUSDT,30m,BUY,TP,0.03,67900.0,69937.0,61110.0,2024-10-27 21:30:00,3.0
BTCUSDT,30m,BUY,TP,0.03,68395.2,70447.056,61555.68,2024-10-28 07:30:00,3.0
BTCUSDT,30m,BUY,TP,0.029999999999999947,68548.2,70604.646,61693.38,2024-10-28 09:30:00,2.9999999999999947
BTCUSDT,30m,BUY,TP,0.03000000000000011,68718.5,70780.05500000001,61846.65,2024-10-28 10:00:00,3.000000000000011
BTCUSDT,30m,BUY,TP,0.03000000000000003,68600.9,70658.927,61740.81,2024-10-28 10:30:00,3.000000000000003
BTCUSDT,30m,BUY,TP,0.02999999999999999,68898.1,70965.043,62008.29000000001,2024-10-28 12:00:00,2.9999999999999987
BTCUSDT,30m,BUY,TP,0.03000000000000011,68881.0,70947.43000000001,61992.9,2024-10-28 12:30:00,3.000000000000011
BTCUSDT,30m,BUY,TP,0.029999999999999992,68938.0,71006.14,62044.200000000004,2024-10-28 13:00:00,2.999999999999999
BTCUSDT,30m,BUY,TP,0.03000000000000007,68788.3,70851.94900000001,61909.47,2024-10-28 13:30:00,3.0000000000000067
BTCUSDT,30m,BUY,TP,0.029999999999999936,68776.1,70839.383,61898.490000000005,2024-10-28 14:00:00,2.999999999999994
BTCUSDT,30m,BUY,TP,0.03000000000000003,69888.4,71985.052,62899.56,2024-10-28 22:00:00,3.000000000000003
BTCUSDT,30m,BUY,TP,0.03000000000000005,68797.0,70860.91,61917.3,2024-11-05 09:00:00,3.000000000000005
BTCUSDT,30m,BUY,TP,0.030000000000000075,69383.0,71464.49,62444.700000000004,2024-11-05 15:00:00,3.0000000000000075
BTCUSDT,30m,BUY,TP,0.030000000000000037,69615.3,71703.759,62653.770000000004,2024-11-05 15:30:00,3.0000000000000036
BTCUSDT,30m,BUY,TP,0.03000000000000007,73435.9,75638.977,66092.31,2024-11-06 07:30:00,3.0000000000000067
BTCUSDT,30m,BUY,TP,0.02999999999999996,76540.0,78836.2,68886.0,2024-11-09 05:30:00,2.999999999999996
BTCUSDT,30m,BUY,TP,0.030000000000000106,76618.0,78916.54000000001,68956.2,2024-11-09 06:00:00,3.0000000000000107
BTCUSDT,30m,BUY,TP,0.0300000000000001,76493.5,78788.30500000001,68844.15000000001,2024-11-09 06:30:00,3.0000000000000098
BTCUSDT,30m,BUY,TP,0.029999999999999957,76675.1,78975.353,69007.59000000001,2024-11-09 23:30:00,2.9999999999999956
BTCUSDT,30m,BUY,TP,0.03000000000000004,76799.9,79103.897,69119.91,2024-11-10 00:00:00,3.000000000000004
BTCUSDT,30m,BUY,TP,0.030000000000000113,76880.0,79186.40000000001,69192.0,2024-11-10 00:30:00,3.0000000000000115
BTCUSDT,30m,BUY,TP,0.03000000000000012,77029.5,79340.38500000001,69326.55,2024-11-10 02:30:00,3.000000000000012
BTCUSDT,30m,BUY,TP,0.030000000000000065,79190.7,81566.421,71271.63,2024-11-10 05:30:00,3.0000000000000067
BTCUSDT,30m,BUY,TP,0.030000000000000054,79788.8,82182.464,71809.92,2024-11-10 11:00:00,3.0000000000000053
BTCUSDT,30m,BUY,TP,0.030000000000000058,81246.0,83683.38,73121.40000000001,2024-11-11 01:30:00,3.0000000000000058
BTCUSDT,30m,BUY,TP,0.030000000000000106,82142.5,84606.77500000001,73928.25,2024-11-11 12:00:00,3.0000000000000107
BTCUSDT,30m,BUY,TP,0.02999999999999999,81893.3,84350.099,73703.97,2024-11-11 13:00:00,2.9999999999999987
